"Out Of Stock Notification","Out Of Stock Notification"
"Availability:","Availability:"
"In stock","In stock"
"Out of stock","Out of stock"
"Product Name","Product Name"
"Price","Price"
"Qty","Qty"
"Please specify a valid Email Address","Please specify a valid Email Address"
"This Mail Id Already Notified","This Mail Id Already Notified"
"Product","Product"
"select","select"
"Please select product to notify","Please select product to notify"
"Error","Error"
"No options of this product are available.","No options of this product are available."
"Please select item(s)","Please select item(s)"
"Total of %d record(s) were successfully updated","Total of %d record(s) were successfully updated"
"Email","Email"
"Notify Me","Notify Me"
"Customer Email Id","Customer Email Id"
"Mail Status","Mail Status"
"Notify Added","Notify Added"
"Notify Updated","Notify Updated"
"Subscribe","Subscribe"